2025-04-22 08:58:56 - IP: 109.122.16.46, Port: 22, Action: Открытие порта, Success: Да
2025-04-22 08:59:16 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:05:51 - IP: 109.122.16.46, Port: 22, Action: Повторное открытие порта, Success: Да
2025-04-22 09:05:55 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:08:01 - IP: 109.122.16.46, Port: 22, Action: Удаление правила из списка, Success: Да
2025-04-22 09:08:20 - IP: 109.122.16.46, Port: 22, Action: Открытие порта, Success: Да
2025-04-22 09:08:34 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:26:16 - IP: 109.122.16.46, Port: 22, Action: Удаление правила из списка, Success: Да
2025-04-22 09:26:18 - IP: 109.122.16.46, Port: 22, Action: Открытие порта, Success: Да
2025-04-22 09:26:33 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:26:58 - IP: 109.122.16.46, Port: 22, Action: Повторное открытие порта, Success: Да
2025-04-22 09:27:14 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:39:30 - IP: 109.122.16.46, Port: 22, Action: Повторное открытие порта, Success: Да
2025-04-22 09:40:08 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:40:11 - IP: 109.122.16.46, Port: 22, Action: Повторное открытие порта, Success: Да
2025-04-22 09:40:39 - IP: 89.28.207.154, Port: 22, Action: Открытие порта, Success: Да
2025-04-22 09:41:10 - IP: 89.28.207.154, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:41:16 - IP: 109.122.16.46, Port: 22, Action: Закрытие порта, Success: Да
2025-04-22 09:41:27 - IP: 89.28.207.154, Port: 22, Action: Повторное открытие порта, Success: Да
